1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Country Name,Country Code,Indicator Name,Indicator Code,data_country,data_year
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.651932348,1.636443372,1.604491241,1.698422064,1.6828383,1.719198617,1.695718122,1.721196013,1.696367725,1.651476371,1.659663163,1.660673496,1.722794668,1.814433236,1.776957566,1.783426251,1.827838115,1.809234754,1.929543784,2.00003716,1.984711817,2.037496278,2.075577083,2.133310345,2.199509929,2.183417579,1.96941643,,,Europe & Central Asia,ECS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07406,0.06263,0.06517,,,0.05448,0.0584,0.06007,,,0.13176,0.13501,0.23011,0.41055,0.41127,0.34115,0.33308,0.37423,0.43839,,,,,,,,,,,Ecuador,ECU,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2126,0.19756,0.1991,0.18651,0.19247,,,,0.26994,0.24141,0.25903,0.2551,0.27024,0.43312,0.43345,0.53154,0.50899,0.63895,0.63649,0.71858,0.70848,0.64486,0.68839,0.79617,0.91564,0.91175,1.01968,1.03356,,"Egypt, Arab Rep.",EGY,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.739895398,1.714638641,1.741110618,1.765857598,1.807838272,1.796635142,1.837266067,1.805632688,1.783369542,1.780041474,1.800962786,1.806349041,1.890098919,1.986728031,1.993315368,2.039101133,2.095354167,2.114096019,2.145584516,2.13522111,2.139198412,2.178894319,2.211909578,2.254944818,2.328514783,2.291359388,2.27819337,,,Euro area,EMU,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eritrea,ERI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78753,0.77781,0.84804,0.83854,0.88276,0.88833,0.95971,1.02373,1.04089,1.09956,1.17702,1.24053,1.325,1.36364,1.35996,1.33341,1.29876,1.27482,1.24159,1.22179,1.18986,1.20977,1.24151,1.25025,1.4091,1.41122,1.43532,,,Spain,ESP,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56501,0.67708,0.6,0.69839,0.71203,0.76465,0.84584,0.91705,1.11277,1.05874,1.25188,1.39679,1.57899,2.30522,2.12481,1.72412,1.43023,1.46777,1.24306,1.27685,1.40999,1.62058,1.75315,1.76766,1.78205,,,Estonia,EST,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17917,,0.17089,,,0.24137,,,0.60474,,,,0.27437,,,,,,,,Ethiopia,ETH,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.698346918,1.731439217,1.699542693,1.785523238,1.763994792,1.82296534,1.790751948,1.827505098,1.795535352,1.784286335,1.80485732,1.798790277,1.87606377,1.971129563,1.971487129,2.017859053,2.079248842,2.099090432,2.119814187,2.119417163,2.118969492,2.154035626,2.185497922,2.223609294,2.2971991,2.26011563,2.242846722,,,European Union,EUU,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271127082,,,,,,,,,,,,,,,,,,Fragile and conflict affected situations,FCS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
